Bus Hound 6.01 capture on Windows Vista Service Pack 1 (x86). Complements of www.perisoft.net

108

  Device - Device ID (followed by the endpoint for USB devices)
            (24) USB2.0-MIDI
  Phase  - Phase Type
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Descr  - Description of the phase
  Cmd... - Position in the captured data


Device  Phase  Data                                                Description       Cmd.Phase.Ofs(rep)
  24.2  OUT    19 92 51 7f                                         ..Q.                   395.1.0        
  24.2  OUT    19 90 2d 00                                         ..-.                   396.1.0        
  24.2  OUT    19 90 34 7a                                         ..4z                   397.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   398.1.0        
  24.2  OUT    19 92 51 00                                         ..Q.                   399.1.0        
  24.2  OUT    19 90 45 7f                                         ..E.                   400.1.0        
  24.2  OUT    19 90 49 7a                                         ..Iz                   401.1.0        
  24.2  OUT    19 92 51 71                                         ..Qq                   402.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   403.1.0        
  24.2  OUT    19 90 45 00                                         ..E.                   404.1.0        
  24.2  OUT    19 90 34 7a                                         ..4z                   405.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   406.1.0        
  24.2  OUT    19 92 51 00                                         ..Q.                   407.1.0        
  24.2  OUT    19 92 49 6e                                         ..In                   408.1.0        
  24.2  OUT    19 92 49 00                                         ..I.                   409.1.0        
  24.2  OUT    19 90 34 7f                                         ..4.                   410.1.0        
  24.2  OUT    19 92 4c 5e                                         ..L^                   411.1.0        
  24.2  OUT    19 91 39 00                                         ..9.                   412.1.0        
  24.2  OUT    19 91 45 00                                         ..E.                   413.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   414.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   415.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   416.1.0        
  24.2  OUT    19 90 45 7a                                         ..Ez                   417.1.0        
  24.2  OUT    19 90 49 7f                                         ..I.                   418.1.0        
  24.2  OUT    19 91 39 6c                                         ..9l                   419.1.0        
  24.2  OUT    19 91 40 75                                         ..@u                   420.1.0        
  24.2  OUT    19 91 45 7f                                         ..E.                   421.1.0        
  24.2  OUT    19 92 49 5e                                         ..I^                   422.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   423.1.0        
  24.2  OUT    19 90 45 00                                         ..E.                   424.1.0        
  24.2  OUT    19 92 49 00                                         ..I.                   425.1.0        
  24.2  OUT    19 90 2d 75                                         ..-u                   426.1.0        
  24.2  OUT    19 92 4e 6e                                         ..Nn                   427.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   428.1.0        
  24.2  OUT    19 91 39 00                                         ..9.                   429.1.0        
  24.2  OUT    19 91 45 00                                         ..E.                   430.1.0        
  24.2  OUT    19 90 2d 00                                         ..-.                   431.1.0        
  24.2  OUT    19 91 2f 6c                                         ../l                   432.1.0        
  24.2  OUT    19 91 2f 00                                         ../.                   433.1.0        
  24.2  OUT    19 91 3b 6c                                         ..;l                   434.1.0        
  24.2  OUT    19 91 3b 00                                         ..;.                   435.1.0        
  24.2  OUT    19 90 42 6e                                         ..Bn                   436.1.0        
  24.2  OUT    19 90 4c 7f                                         ..L.                   437.1.0        
  24.2  OUT    19 91 42 6e                                         ..Bn                   438.1.0        
  24.2  OUT    19 91 4c 7f                                         ..L.                   439.1.0        
  24.2  OUT    19 91 4c 00                                         ..L.                   440.1.0        
  24.2  OUT    19 90 4c 00                                         ..L.                   441.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   442.1.0        
  24.2  OUT    19 90 42 00                                         ..B.                   443.1.0        
  24.2  OUT    19 90 42 6e                                         ..Bn                   444.1.0        
  24.2  OUT    19 90 4b 6e                                         ..Kn                   445.1.0        
  24.2  OUT    19 91 42 6e                                         ..Bn                   446.1.0        
  24.2  OUT    19 91 4b 6e                                         ..Kn                   447.1.0        
  24.2  OUT    19 91 4b 00                                         ..K.                   448.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   449.1.0        
  24.2  OUT    19 91 3f 6e                                         ..?n                   450.1.0        
  24.2  OUT    19 91 42 6e                                         ..Bn                   451.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   452.1.0        
  24.2  OUT    19 92 4e 00                                         ..N.                   453.1.0        
  24.2  OUT    19 91 3f 00                                         ..?.                   454.1.0        
  24.2  OUT    19 91 40 6e                                         ..@n                   455.1.0        
  24.2  OUT    19 91 44 6e                                         ..Dn                   456.1.0        
  24.2  OUT    19 91 44 00                                         ..D.                   457.1.0        
  24.2  OUT    19 90 42 00                                         ..B.                   458.1.0        
  24.2  OUT    19 90 4b 00                                         ..K.                   459.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   460.1.0        
  24.2  OUT    19 91 40 7a                                         ..@z                   461.1.0        
  24.2  OUT    19 92 4c 7f                                         ..L.                   462.1.0        
  24.2  OUT    19 93 28 7f                                         ..(.                   463.1.0        
  24.2  OUT    19 94 34 7f                                         ..4.                   464.1.0        
  24.2  OUT    19 96 50 7f                                         ..P.                   465.1.0        
  24.2  OUT    19 91 42 7a                                         ..Bz                   466.1.0        
  24.2  OUT    19 91 44 7f                                         ..D.                   467.1.0        
  24.2  OUT    19 93 3b 3c                                         ..;<                   468.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   469.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   470.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   471.1.0        
  24.2  OUT    19 91 44 00                                         ..D.                   472.1.0        
  24.2  OUT    19 96 50 00                                         ..P.                   473.1.0        
  24.2  OUT    19 93 3b 00                                         ..;.                   474.1.0        
  24.2  OUT    19 91 42 7a                                         ..Bz                   475.1.0        
  24.2  OUT    19 92 4c 7a                                         ..Lz                   476.1.0        
  24.2  OUT    19 93 40 3b                                         ..@;                   477.1.0        
  24.2  OUT    19 96 50 64                                         ..Pd                   478.1.0        
  24.2  OUT    19 96 50 00                                         ..P.                   479.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   480.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   481.1.0        
  24.2  OUT    19 93 40 00                                         ..@.                   482.1.0        
  24.2  OUT    19 91 44 7a                                         ..Dz                   483.1.0        
  24.2  OUT    19 92 49 6e                                         ..In                   484.1.0        
  24.2  OUT    19 93 3b 3c                                         ..;<                   485.1.0        
  24.2  OUT    19 96 4e 6e                                         ..Nn                   486.1.0        
  24.2  OUT    19 96 4e 00                                         ..N.                   487.1.0        
  24.2  OUT    19 92 49 00                                         ..I.                   488.1.0        
  24.2  OUT    19 93 3b 00                                         ..;.                   489.1.0        
  24.2  OUT    19 92 47 7a                                         ..Gz                   490.1.0        
  24.2  OUT    19 93 44 3a                                         ..D:                   491.1.0        
  24.2  OUT    19 96 4c 7a                                         ..Lz                   492.1.0        
  24.2  OUT    19 94 34 00                                         ..4.                   493.1.0        
  24.2  OUT    19 93 44 00                                         ..D.                   494.1.0        
  24.2  OUT    19 93 3b 3a                                         ..;:                   495.1.0        
  24.2  OUT    19 94 36 6e                                         ..6n                   496.1.0        
  24.2  OUT    19 92 47 00                                         ..G.                   497.1.0        
  24.2  OUT    19 91 44 00                                         ..D.                   498.1.0        
  24.2  OUT    19 94 36 00                                         ..6.                   499.1.0        
  24.2  OUT    19 93 28 00                                         ..(.                   500.1.0        
  24.2  OUT    19 96 4c 00                                         ..L.                   501.1.0        
  24.2  OUT    19 94 38 6e                                         ..8n                   502.1.0        
  24.2  OUT    19 93 3b 00                                         ..;.                   503.1.0        
  24.2  OUT    19 91 42 7f                                         ..B.                   504.1.0        
  24.2  OUT    19 92 49 7a                                         ..Iz                   505.1.0        
  24.2  OUT    19 93 40 64                                         ..@d                   506.1.0        
  24.2  OUT    19 93 27 7f                                         ..'.                   507.1.0        
  24.2  OUT    19 96 4e 6e                                         ..Nn                   508.1.0        
  24.2  OUT    19 94 38 00                                         ..8.                   509.1.0        
  24.2  OUT    19 94 3b 5e                                         ..;^                   510.1.0        
  24.2  OUT    19 92 49 00                                         ..I.                   511.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   512.1.0        
  24.2  OUT    19 96 4e 00                                         ..N.                   513.1.0        
  24.2  OUT    19 93 40 00                                         ..@.                   514.1.0        
  24.2  OUT    19 91 44 64                                         ..Dd                   515.1.0        
  24.2  OUT    19 92 4c 7f                                         ..L.                   516.1.0        
  24.2  OUT    19 93 3b 38                                         ..;8                   517.1.0        
  24.2  OUT    19 96 50 6e                                         ..Pn                   518.1.0        
  24.2  OUT    19 94 3b 00                                         ..;.                   519.1.0        
  24.2  OUT    19 91 44 00                                         ..D.                   520.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   521.1.0        
  24.2  OUT    19 93 27 00                                         ..'.                   522.1.0        
  24.2  OUT    19 96 50 00                                         ..P.                   523.1.0        
  24.2  OUT    19 94 3d 7f                                         ..=.                   524.1.0        
  24.2  OUT    19 93 3b 00                                         ..;.                   525.1.0        
  24.2  OUT    19 92 4c 7f                                         ..L.                   526.1.0        
  24.2  OUT    19 93 25 7f                                         ..%.                   527.1.0        
  24.2  OUT    19 96 50 7f                                         ..P.                   528.1.0        
  24.2  OUT    19 93 38 3c                                         ..8<                   529.1.0        
  24.2  OUT    19 93 38 00                                         ..8.                   530.1.0        
  24.2  OUT    1c c0 31 00                                         ..1.                   531.1.0        
  24.2  OUT    19 90 4c 7f                                         ..L.                   532.1.0        
  24.2  OUT    19 93 3d 3c                                         ..=<                   533.1.0        
  24.2  OUT    19 93 3d 00                                         ..=.                   534.1.0        
  24.2  OUT    19 93 38 3a                                         ..8:                   535.1.0        
  24.2  OUT    19 90 4c 00                                         ..L.                   536.1.0        
  24.2  OUT    19 93 38 00                                         ..8.                   537.1.0        
  24.2  OUT    19 90 4b 7f                                         ..K.                   538.1.0        
  24.2  OUT    19 93 40 3a                                         ..@:                   539.1.0        
  24.2  OUT    19 93 40 00                                         ..@.                   540.1.0        
  24.2  OUT    19 93 38 3c                                         ..8<                   541.1.0        
  24.2  OUT    19 94 3d 00                                         ..=.                   542.1.0        
  24.2  OUT    19 90 4b 00                                         ..K.                   543.1.0        
  24.2  OUT    19 93 25 00                                         ..%.                   544.1.0        
  24.2  OUT    19 93 38 00                                         ..8.                   545.1.0        
  24.2  OUT    19 90 47 7f                                         ..G.                   546.1.0        
  24.2  OUT    19 93 3d 64                                         ..=d                   547.1.0        
  24.2  OUT    19 93 23 7f                                         ..#.                   548.1.0        
  24.2  OUT    19 94 3b 7f                                         ..;.                   549.1.0        
  24.2  OUT    19 94 3b 00                                         ..;.                   550.1.0        
  24.2  OUT    19 93 3d 00                                         ..=.                   551.1.0        
  24.2  OUT    19 93 38 3e                                         ..8>                   552.1.0        
  24.2  OUT    19 94 38 7f                                         ..8.                   553.1.0        
  24.2  OUT    19 96 50 00                                         ..P.                   554.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   555.1.0        
  24.2  OUT    19 90 47 00                                         ..G.                   556.1.0        
  24.2  OUT    19 93 23 00                                         ..#.                   557.1.0        
  24.2  OUT    19 94 38 00                                         ..8.                   558.1.0        
  24.2  OUT    19 93 38 00                                         ..8.                   559.1.0        
  24.2  OUT    19 90 49 7f                                         ..I.                   560.1.0        
  24.2  OUT    19 92 4c 7f                                         ..L.                   561.1.0        
  24.2  OUT    19 93 21 7f                                         ..!.                   562.1.0        
  24.2  OUT    19 94 39 7f                                         ..9.                   563.1.0        
  24.2  OUT    19 96 51 7f                                         ..Q.                   564.1.0        
  24.2  OUT    19 93 34 4c                                         ..4L                   565.1.0        
  24.2  OUT    19 96 51 00                                         ..Q.                   566.1.0        
  24.2  OUT    19 96 51 5e                                         ..Q^                   567.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   568.1.0        
  24.2  OUT    19 93 34 00                                         ..4.                   569.1.0        
  24.2  OUT    19 92 4c 6c                                         ..Ll                   570.1.0        
  24.2  OUT    19 93 39 50                                         ..9P                   571.1.0        
  24.2  OUT    19 93 21 00                                         ..!.                   572.1.0        
  24.2  OUT    19 96 51 00                                         ..Q.                   573.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   574.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   575.1.0        
  24.2  OUT    19 93 39 00                                         ..9.                   576.1.0        
  24.2  OUT    19 94 39 00                                         ..9.                   577.1.0        
  24.2  OUT    1e e0 00 40                                         ...@                   578.1.0        
  24.2  OUT    1b b0 01 00                                         ....                   579.1.0        
  24.2  OUT    1b b0 40 00                                         ..@.                   580.1.0        
  24.2  OUT    1b b0 79 00                                         ..y.                   581.1.0        
  24.2  OUT    1e e1 00 40                                         ...@                   582.1.0        
  24.2  OUT    1b b1 01 00                                         ....                   583.1.0        
  24.2  OUT    1b b1 40 00                                         ..@.                   584.1.0        
  24.2  OUT    1b b1 79 00                                         ..y.                   585.1.0        
  24.2  OUT    1e e2 00 40                                         ...@                   586.1.0        
  24.2  OUT    1b b2 01 00                                         ....                   587.1.0        
  24.2  OUT    1b b2 40 00                                         ..@.                   588.1.0        
  24.2  OUT    1b b2 79 00                                         ..y.                   589.1.0        
  24.2  OUT    1e e3 00 40                                         ...@                   590.1.0        
  24.2  OUT    1b b3 01 00                                         ....                   591.1.0        
  24.2  OUT    1b b3 40 00                                         ..@.                   592.1.0        
  24.2  OUT    1b b3 79 00                                         ..y.                   593.1.0        
  24.2  OUT    1e e4 00 40                                         ...@                   594.1.0        
  24.2  OUT    1b b4 01 00                                         ....                   595.1.0        
  24.2  OUT    1b b4 40 00                                         ..@.                   596.1.0        
  24.2  OUT    1b b4 79 00                                         ..y.                   597.1.0        
  24.2  OUT    1e e5 00 40                                         ...@                   598.1.0        
  24.2  OUT    1b b5 01 00                                         ....                   599.1.0        
  24.2  OUT    1b b5 40 00                                         ..@.                   600.1.0        
  24.2  OUT    1b b5 79 00                                         ..y.                   601.1.0        
  24.2  OUT    1e e6 00 40                                         ...@                   602.1.0        
  24.2  OUT    1b b6 01 00                                         ....                   603.1.0        
  24.2  OUT    1b b6 40 00                                         ..@.                   604.1.0        
  24.2  OUT    1b b6 79 00                                         ..y.                   605.1.0        
  24.2  OUT    1e e7 00 40                                         ...@                   606.1.0        
  24.2  OUT    1b b7 01 00                                         ....                   607.1.0        
  24.2  OUT    1b b7 40 00                                         ..@.                   608.1.0        
  24.2  OUT    1b b7 79 00                                         ..y.                   609.1.0        
  24.2  OUT    1e e8 00 40                                         ...@                   610.1.0        
  24.2  OUT    1b b8 01 00                                         ....                   611.1.0        
  24.2  OUT    1b b8 40 00                                         ..@.                   612.1.0        
  24.2  OUT    1b b8 79 00                                         ..y.                   613.1.0        
  24.2  OUT    1e e9 00 40                                         ...@                   614.1.0        
  24.2  OUT    1b b9 01 00                                         ....                   615.1.0        
  24.2  OUT    1b b9 40 00                                         ..@.                   616.1.0        
  24.2  OUT    1b b9 79 00                                         ..y.                   617.1.0        
  24.2  OUT    1e ea 00 40                                         ...@                   618.1.0        
  24.2  OUT    1b ba 01 00                                         ....                   619.1.0        
  24.2  OUT    1b ba 40 00                                         ..@.                   620.1.0        
  24.2  OUT    1b ba 79 00                                         ..y.                   621.1.0        
  24.2  OUT    1e eb 00 40                                         ...@                   622.1.0        
  24.2  OUT    1b bb 01 00                                         ....                   623.1.0        
  24.2  OUT    1b bb 40 00                                         ..@.                   624.1.0        
  24.2  OUT    1b bb 79 00                                         ..y.                   625.1.0        
  24.2  OUT    1e ec 00 40                                         ...@                   626.1.0        
  24.2  OUT    1b bc 01 00                                         ....                   627.1.0        
  24.2  OUT    1b bc 40 00                                         ..@.                   628.1.0        
  24.2  OUT    1b bc 79 00                                         ..y.                   629.1.0        
  24.2  OUT    1e ed 00 40                                         ...@                   630.1.0        
  24.2  OUT    1b bd 01 00                                         ....                   631.1.0        
  24.2  OUT    1b bd 40 00                                         ..@.                   632.1.0        
  24.2  OUT    1b bd 79 00                                         ..y.                   633.1.0        
  24.2  OUT    1e ee 00 40                                         ...@                   634.1.0        
  24.2  OUT    1b be 01 00                                         ....                   635.1.0        
  24.2  OUT    1b be 40 00                                         ..@.                   636.1.0        
  24.2  OUT    1b be 79 00                                         ..y.                   637.1.0        
  24.2  OUT    1e ef 00 40                                         ...@                   638.1.0        
  24.2  OUT    1b bf 01 00                                         ....                   639.1.0        
  24.2  OUT    1b bf 40 00                                         ..@.                   640.1.0        
  24.2  OUT    1b bf 79 00                                         ..y.                   641.1.0        
  24.2  OUT    0e e0 00 40                                         ...@                   642.1.0        
  24.2  OUT    0b b0 01 00                                         ....                   643.1.0        
  24.2  OUT    0b b0 40 00                                         ..@.                   644.1.0        
  24.2  OUT    0b b0 79 00                                         ..y.                   645.1.0        
  24.2  OUT    0e e1 00 40                                         ...@                   646.1.0        
  24.2  OUT    0b b1 01 00                                         ....                   647.1.0        
  24.2  OUT    0b b1 40 00                                         ..@.                   648.1.0        
  24.2  OUT    0b b1 79 00                                         ..y.                   649.1.0        
  24.2  OUT    0e e2 00 40                                         ...@                   650.1.0        
  24.2  OUT    0b b2 01 00                                         ....                   651.1.0        
  24.2  OUT    0b b2 40 00                                         ..@.                   652.1.0        
  24.2  OUT    0b b2 79 00                                         ..y.                   653.1.0        
  24.2  OUT    0e e3 00 40                                         ...@                   654.1.0        
  24.2  OUT    0b b3 01 00                                         ....                   655.1.0        
  24.2  OUT    0b b3 40 00                                         ..@.                   656.1.0        
  24.2  OUT    0b b3 79 00                                         ..y.                   657.1.0        
  24.2  OUT    0e e4 00 40                                         ...@                   658.1.0        
  24.2  OUT    0b b4 01 00                                         ....                   659.1.0        
  24.2  OUT    0b b4 40 00                                         ..@.                   660.1.0        
  24.2  OUT    0b b4 79 00                                         ..y.                   661.1.0        
  24.2  OUT    0e e5 00 40                                         ...@                   662.1.0        
  24.2  OUT    0b b5 01 00                                         ....                   663.1.0        
  24.2  OUT    0b b5 40 00                                         ..@.                   664.1.0        
  24.2  OUT    0b b5 79 00                                         ..y.                   665.1.0        
  24.2  OUT    0e e6 00 40                                         ...@                   666.1.0        
  24.2  OUT    0b b6 01 00                                         ....                   667.1.0        
  24.2  OUT    0b b6 40 00                                         ..@.                   668.1.0        
  24.2  OUT    0b b6 79 00                                         ..y.                   669.1.0        
  24.2  OUT    0e e7 00 40                                         ...@                   670.1.0        
  24.2  OUT    0b b7 01 00                                         ....                   671.1.0        
  24.2  OUT    0b b7 40 00                                         ..@.                   672.1.0        
  24.2  OUT    0b b7 79 00                                         ..y.                   673.1.0        
  24.2  OUT    0e e8 00 40                                         ...@                   674.1.0        
  24.2  OUT    0b b8 01 00                                         ....                   675.1.0        
  24.2  OUT    0b b8 40 00                                         ..@.                   676.1.0        
  24.2  OUT    0b b8 79 00                                         ..y.                   677.1.0        
  24.2  OUT    0e e9 00 40                                         ...@                   678.1.0        
  24.2  OUT    0b b9 01 00                                         ....                   679.1.0        
  24.2  OUT    0b b9 40 00                                         ..@.                   680.1.0        
  24.2  OUT    0b b9 79 00                                         ..y.                   681.1.0        
  24.2  OUT    0e ea 00 40                                         ...@                   682.1.0        
  24.2  OUT    0b ba 01 00                                         ....                   683.1.0        
  24.2  OUT    0b ba 40 00                                         ..@.                   684.1.0        
  24.2  OUT    0b ba 79 00                                         ..y.                   685.1.0        
  24.2  OUT    0e eb 00 40                                         ...@                   686.1.0        
  24.2  OUT    0b bb 01 00                                         ....                   687.1.0        
  24.2  OUT    0b bb 40 00                                         ..@.                   688.1.0        
  24.2  OUT    0b bb 79 00                                         ..y.                   689.1.0        
  24.2  OUT    0e ec 00 40                                         ...@                   690.1.0        
  24.2  OUT    0b bc 01 00                                         ....                   691.1.0        
  24.2  OUT    0b bc 40 00                                         ..@.                   692.1.0        
  24.2  OUT    0b bc 79 00                                         ..y.                   693.1.0        
  24.2  OUT    0e ed 00 40                                         ...@                   694.1.0        
  24.2  OUT    0b bd 01 00                                         ....                   695.1.0        
  24.2  OUT    0b bd 40 00                                         ..@.                   696.1.0        
  24.2  OUT    0b bd 79 00                                         ..y.                   697.1.0        
  24.2  OUT    0e ee 00 40                                         ...@                   698.1.0        
  24.2  OUT    0b be 01 00                                         ....                   699.1.0        
  24.2  OUT    0b be 40 00                                         ..@.                   700.1.0        
  24.2  OUT    0b be 79 00                                         ..y.                   701.1.0        
  24.2  OUT    0e ef 00 40                                         ...@                   702.1.0        
  24.2  OUT    0b bf 01 00                                         ....                   703.1.0        
  24.2  OUT    0b bf 40 00                                         ..@.                   704.1.0        
  24.2  OUT    0b bf 79 00                                         ..y.                   705.1.0        
